trecho_id,data_obs,lat_centroide,lon_centroide,mes,chuva_72h,chuva_7d,chuva_30d
RO-ARQ-0006,2024-10-20,-9.8595,-63.0533,10,9.0,41.8,90.9
RO-ARQ-0006,2025-02-10,-9.8595,-63.0533,2,40.9,85.0,349.7
RO-ARQ-0006,2025-03-15,-9.8595,-63.0533,3,41.2,61.6,310.3
RO-ARQ-0006,2025-08-15,-9.8595,-63.0533,8,0.0,0.0,5.1
RO-ARQ-0007,2023-02-15,-9.8461,-63.0284,2,20.9,36.2,254.8
RO-ARQ-0007,2023-03-08,-9.8461,-63.0284,3,20.7,63.7,253.0
RO-ARQ-0007,2023-07-20,-9.8461,-63.0284,7,0.0,0.7,0.9
RO-ARQ-0007,2023-11-15,-9.8461,-63.0284,11,6.9,25.3,74.1
RO-ARQ-0007,2024-01-20,-9.8461,-63.0284,1,22.8,47.5,264.7
RO-ARQ-0007,2024-02-25,-9.8461,-63.0284,2,52.1,82.3,309.0
RO-ARQ-0007,2024-07-15,-9.8461,-63.0284,7,0.0,0.7,2.9
RO-ARQ-0007,2024-10-20,-9.8461,-63.0284,10,9.0,41.8,90.9
RO-ARQ-0007,2025-02-10,-9.8461,-63.0284,2,40.9,85.0,349.7
RO-ARQ-0007,2025-03-15,-9.8461,-63.0284,3,41.2,61.6,310.3
RO-ARQ-0007,2025-08-15,-9.8461,-63.0284,8,0.0,0.0,5.1
RO-ARQ-0008,2023-02-15,-9.8628,-63.0549,2,20.9,36.2,254.8
RO-ARQ-0008,2023-03-08,-9.8628,-63.0549,3,20.7,63.7,253.0
RO-ARQ-0008,2023-07-20,-9.8628,-63.0549,7,0.0,0.7,0.9
RO-ARQ-0008,2023-11-15,-9.8628,-63.0549,11,6.9,25.3,74.1
RO-ARQ-0008,2024-01-20,-9.8628,-63.0549,1,22.8,47.5,264.7
RO-ARQ-0008,2024-02-25,-9.8628,-63.0549,2,52.1,82.3,309.0
RO-ARQ-0008,2024-07-15,-9.8628,-63.0549,7,0.0,0.7,2.9
RO-ARQ-0008,2024-10-20,-9.8628,-63.0549,10,9.0,41.8,90.9
RO-ARQ-0008,2025-02-10,-9.8628,-63.0549,2,40.9,85.0,349.7
RO-ARQ-0008,2025-03-15,-9.8628,-63.0549,3,41.2,61.6,310.3
RO-ARQ-0008,2025-08-15,-9.8628,-63.0549,8,0.0,0.0,5.1
RO-ARQ-0009,2023-02-15,-9.8648,-63.0534,2,20.9,36.2,254.8
RO-ARQ-0009,2023-03-08,-9.8648,-63.0534,3,20.7,63.7,253.0
RO-ARQ-0009,2023-07-20,-9.8648,-63.0534,7,0.0,0.7,0.9
RO-ARQ-0009,2023-11-15,-9.8648,-63.0534,11,6.9,25.3,74.1
RO-ARQ-0009,2024-01-20,-9.8648,-63.0534,1,22.8,47.5,264.7
RO-ARQ-0009,2024-02-25,-9.8648,-63.0534,2,52.1,82.3,309.0
RO-ARQ-0009,2024-07-15,-9.8648,-63.0534,7,0.0,0.7,2.9
RO-ARQ-0009,2024-10-20,-9.8648,-63.0534,10,9.0,41.8,90.9
RO-ARQ-0009,2025-02-10,-9.8648,-63.0534,2,40.9,85.0,349.7
RO-ARQ-0009,2025-03-15,-9.8648,-63.0534,3,41.2,61.6,310.3
RO-ARQ-0009,2025-08-15,-9.8648,-63.0534,8,0.0,0.0,5.1
RO-ARQ-0010,2023-02-15,-9.9363,-63.0602,2,18.8,35.9,240.2
RO-ARQ-0010,2023-03-08,-9.9363,-63.0602,3,16.9,58.5,277.2
RO-ARQ-0010,2023-07-20,-9.9363,-63.0602,7,0.0,21.4,21.6
RO-ARQ-0010,2023-11-15,-9.9363,-63.0602,11,7.4,19.1,65.4
RO-ARQ-0010,2024-01-20,-9.9363,-63.0602,1,25.8,48.8,259.2
RO-ARQ-0010,2024-02-25,-9.9363,-63.0602,2,51.1,98.6,283.6
RO-ARQ-0010,2024-07-15,-9.9363,-63.0602,7,0.0,0.1,1.1
RO-ARQ-0010,2024-10-20,-9.9363,-63.0602,10,14.4,42.9,85.1
RO-ARQ-0010,2025-02-10,-9.9363,-63.0602,2,40.2,98.6,345.7
RO-ARQ-0010,2025-03-15,-9.9363,-63.0602,3,45.5,68.9,297.6
RO-ARQ-0010,2025-08-15,-9.9363,-63.0602,8,0.0,0.0,5.5
RO-ARQ-0011,2023-02-15,-9.9508,-63.0676,2,18.8,35.9,240.2
RO-ARQ-0011,2023-03-08,-9.9508,-63.0676,3,16.9,58.5,277.2
RO-ARQ-0011,2023-07-20,-9.9508,-63.0676,7,0.0,21.4,21.6
RO-ARQ-0011,2023-11-15,-9.9508,-63.0676,11,7.4,19.1,65.4
RO-ARQ-0011,2024-01-20,-9.9508,-63.0676,1,25.8,48.8,259.2
RO-ARQ-0011,2024-02-25,-9.9508,-63.0676,2,51.1,98.6,283.6
RO-ARQ-0011,2024-07-15,-9.9508,-63.0676,7,0.0,0.1,1.1
RO-ARQ-0011,2024-10-20,-9.9508,-63.0676,10,14.4,42.9,85.1
RO-ARQ-0011,2025-02-10,-9.9508,-63.0676,2,40.2,98.6,345.7
RO-ARQ-0011,2025-03-15,-9.9508,-63.0676,3,45.5,68.9,297.6
RO-ARQ-0011,2025-08-15,-9.9508,-63.0676,8,0.0,0.0,5.5
RO-ARQ-0012,2023-02-15,-9.9543,-63.0787,2,18.8,35.9,240.2
RO-ARQ-0012,2023-03-08,-9.9543,-63.0787,3,16.9,58.5,277.2
RO-ARQ-0012,2023-07-20,-9.9543,-63.0787,7,0.0,21.4,21.6
RO-ARQ-0012,2023-11-15,-9.9543,-63.0787,11,7.4,19.1,65.4
RO-ARQ-0012,2024-01-20,-9.9543,-63.0787,1,25.8,48.8,259.2
RO-ARQ-0012,2024-02-25,-9.9543,-63.0787,2,51.1,98.6,283.6
RO-ARQ-0012,2024-07-15,-9.9543,-63.0787,7,0.0,0.1,1.1
RO-ARQ-0012,2024-10-20,-9.9543,-63.0787,10,14.4,42.9,85.1
RO-ARQ-0012,2025-02-10,-9.9543,-63.0787,2,40.2,98.6,345.7
